City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-26.14,98,43,1.95,RU,1702249865
1,tiksi,71.6872,128.8694,-24.83,100,100,2.18,RU,1702249865
2,ciudad bolivar,8.1222,-63.5497,29.25,59,94,4.45,VE,1702249866
3,jamestown,42.097,-79.2353,4.77,79,100,3.09,US,1702249720
4,nadym,65.5333,72.5167,-31.33,95,75,3.75,RU,1702249867
5,avarua,-21.2078,-159.775,25.03,94,100,11.32,CK,1702249787
6,praia,14.9215,-23.5087,25.3,57,0,4.63,CV,1702249868
7,college,64.8569,-147.8028,-24.75,69,75,1.54,US,1702249869
8,port elizabeth,-33.918,25.5701,14.62,91,4,0.45,ZA,1702249721
9,poteau,35.0537,-94.6236,8.88,27,0,1.54,US,1702249811
10,andrews,32.3187,-102.5457,11.34,22,0,7.2,US,1702249743
11,al kharijah,25.4514,30.5464,17.31,29,98,2.46,EG,1702249870
12,bantilan,14.7519,121.6656,26.15,87,94,3.92,PH,1702249871
13,aljezur,37.3191,-8.8033,15.24,87,0,0.97,PT,1702249871
14,puerto natales,-51.7236,-72.4875,12.25,50,75,6.69,CL,1702249728
15,vuktyl,63.8567,57.3094,-30.5,100,82,0.89,RU,1702249872
16,bejaia,36.7559,5.0843,15.93,68,7,2.5,DZ,1702249873
17,arraial do cabo,-22.9661,-42.0278,23.29,76,100,4.55,BR,1702249765
18,hasaki,35.7333,140.8333,12.38,69,99,2.07,JP,1702249874
19,waitangi,-43.9535,-176.5597,11.49,56,3,2.12,NZ,1702249874
20,grytviken,-54.2811,-36.5092,5.64,91,100,6.8,GS,1702249875
21,wailua homesteads,22.0669,-159.378,26.53,76,20,4.12,US,1702249875
22,ivolginsk,51.7492,107.2837,-35.19,75,20,1.0,RU,1702249876
23,adamstown,-25.066,-130.1015,21.08,58,0,4.33,PN,1702249876
24,makarov,48.6333,142.8,-13.92,81,50,6.53,RU,1702249877
25,udachny,66.4167,112.4,-28.64,82,100,5.53,RU,1702249877
26,hithadhoo,-0.6,73.0833,27.66,75,99,2.34,MV,1702249776
27,kapuskasing,49.4169,-82.4331,-7.9,89,100,3.26,CA,1702249878
28,barcelos,41.5388,-8.6151,17.08,92,100,3.38,PT,1702249879
29,saint-francois,46.4154,3.9054,13.14,94,100,2.57,FR,1702249879
30,ouesso,1.6136,16.0517,24.06,83,100,0.56,CG,1702249880
31,port-aux-francais,-49.35,70.2167,3.61,78,62,10.28,TF,1702249880
32,portland,45.5234,-122.6762,12.71,95,100,2.68,US,1702249272
33,rio grande,-32.035,-52.0986,21.06,88,91,7.6,BR,1702249881
34,longyearbyen,78.2186,15.6401,0.91,69,75,6.17,SJ,1702249738
